ICD9_CODE,COUNT,LONG_TITLE
4019,20691,Unspecified essential hypertension
4280,13099,"Congestive heart failure, unspecified"
42731,12891,Atrial fibrillation
41401,12429,Coronary atherosclerosis of native coronary artery
5849,9115,"Acute kidney failure, unspecified"
25000,9058,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
2724,8690,Other and unspecified hyperlipidemia
51881,7497,Acute respiratory failure
5990,6551,"Urinary tract infection, site not specified"
53081,6266,Esophageal reflux
2720,5930,Pure hypercholesterolemia
2859,5403,"Anemia, unspecified"
2449,4916,Unspecified acquired hypothyroidism
486,4812,"Pneumonia, organism unspecified"
2851,4552,Acute posthemorrhagic anemia
2762,4512,Acidosis
496,4431,"Chronic airway obstruction, not elsewhere classified"
99592,3912,Severe sepsis
V5861,3806,Long-term (current) use of anticoagulants
0389,3706,Unspecified septicemia
5070,3678,Pneumonitis due to inhalation of food or vomitus
5859,3434,"Chronic kidney disease, unspecified"
311,3430,"Depressive disorder, not elsewhere classified"
40390,3421,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
3051,3358,Tobacco use disorder
412,3278,Old myocardial infarction
2875,3064,"Thrombocytopenia, unspecified"
V4581,3056,Aortocoronary bypass status
41071,3055,"Subendocardial infarction, initial episode of care"
2761,3025,Hyposmolality and/or hyponatremia
4240,2925,Mitral valve disorders
V1582,2811,Personal history of tobacco use
V4582,2725,Percutaneous transluminal coronary angioplasty status
5119,2725,Unspecified pleural effusion
40391,2630,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
78552,2585,Septic shock
4241,2550,Aortic valve disorders
V5867,2538,Long-term (current) use of insulin
42789,2443,Other specified cardiac dysrhythmias
32723,2380,Obstructive sleep apnea (adult)(pediatric)
9971,2343,"Cardiac complications, not elsewhere classified"
5845,2287,Acute kidney failure with lesion of tubular necrosis
2760,2262,Hyperosmolality and/or hypernatremia
49390,2195,"Asthma, unspecified type, unspecified"
2767,2163,Hyperpotassemia
5180,2163,Pulmonary collapse
4168,2148,Other chronic pulmonary heart diseases
45829,2121,Other iatrogenic hypotension
2749,2082,"Gout, unspecified"
4589,1991,"Hypotension, unspecified"
73300,1947,"Osteoporosis, unspecified"
78039,1931,Other convulsions
5856,1926,End stage renal disease
4271,1811,Paroxysmal ventricular tachycardia
5185,1807,
4254,1707,Other primary cardiomyopathies
4111,1663,Intermediate coronary syndrome
V1251,1612,Personal history of venous thrombosis and embolism
3572,1584,Polyneuropathy in diabetes
30000,1580,"Anxiety state, unspecified"
99811,1528,Hemorrhage complicating a procedure
27800,1511,"Obesity, unspecified"
E8798,1497,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
41400,1494,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
60000,1490,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
7907,1471,Bacteremia
2930,1445,Delirium due to conditions classified elsewhere
00845,1444,Intestinal infection due to Clostridium difficile
2768,1423,Hypopotassemia
4439,1401,"Peripheral vascular disease, unspecified"
5789,1397,"Hemorrhage of gastrointestinal tract, unspecified"
V4501,1390,Cardiac pacemaker in situ
28521,1384,Anemia in chronic kidney disease
27651,1381,Dehydration
431,1367,Intracerebral hemorrhage
27652,1361,Hypovolemia
4275,1361,Cardiac arrest
E8788,1348,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
2765,1342,
V4986,1327,Do not resuscitate status
79902,1298,Hypoxemia
70703,1289,"Pressure ulcer, lower back"
5715,1287,Cirrhosis of liver without mention of alcohol
V103,1277,Personal history of malignant neoplasm of breast
99591,1269,Sepsis
2639,1259,Unspecified protein-calorie malnutrition
42832,1240,Chronic diastolic heart failure
99812,1224,Hematoma complicating a procedure
42833,1220,Acute on chronic diastolic heart failure
07054,1218,Chronic hepatitis C without mention of hepatic coma
42732,1214,Atrial flutter
E8782,1211,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
V1046,1207,Personal history of malignant neoplasm of prostate
5712,1202,Alcoholic cirrhosis of liver
49121,1198,Obstructive chronic bronchitis with (acute) exacerbation
99859,1183,Other postoperative infection
2809,1171,"Iron deficiency anemia, unspecified"
27801,1170,Morbid obesity
78551,1154,Cardiogenic shock
42823,1143,Acute on chronic systolic heart failure
